OverviewPage,Team,N PlayerInTeam,Player,Role,Flag
2017 Season World Championship/Play-In,Cloud9,2,Contractz,Jungle,United States
2017 Season World Championship/Play-In,Cloud9,3,Jensen,Mid,Denmark
2017 Season World Championship/Play-In,Cloud9,4,Sneaky,Bot,United States
2017 Season World Championship/Play-In,Cloud9,5,Smoothie,Support,Canada
2017 Season World Championship/Play-In,Cloud9,6,Reapered,Coach,South Korea
2017 Season World Championship/Play-In,Dire Wolves,1,Chippys,Top,New Zealand
2017 Season World Championship/Play-In,Dire Wolves,2,shernfire,Jungle,Malaysia
2017 Season World Championship/Play-In,Dire Wolves,3,Phantiks,Mid,Australia
2017 Season World Championship/Play-In,Dire Wolves,4,k1ng,Bot,Australia
2017 Season World Championship/Play-In,Dire Wolves,5,Destiny (Mitchell Shaw),Support,Australia
2017 Season World Championship/Play-In,Dire Wolves,6,Sharp (Curtis Morgan),Coach,Australia
2017 Season World Championship/Play-In,Fenerbahçe Esports,1,Thaldrin,Top,Turkey
2017 Season World Championship/Play-In,Fenerbahçe Esports,2,Crash,Jungle,South Korea
2017 Season World Championship/Play-In,Fenerbahçe Esports,3,Frozen (Kim Tae-il),Mid,South Korea
2017 Season World Championship/Play-In,Fenerbahçe Esports,4,padden,Bot,Turkey
2017 Season World Championship/Play-In,Fenerbahçe Esports,5,Japone,Support,Turkey
2017 Season World Championship/Play-In,Fenerbahçe Esports,6,Pades,Coach,Turkey
2017 Season World Championship/Play-In,Fnatic,1,sOAZ,Top,France
2017 Season World Championship/Play-In,Fnatic,2,Broxah,Jungle,Denmark
2017 Season World Championship/Play-In,Fnatic,3,Caps,Mid,Denmark
2017 Season World Championship/Play-In,Fnatic,4,Rekkles,Bot,Sweden
2017 Season World Championship/Play-In,Fnatic,5,Jesiz,Support,Denmark
2017 Season World Championship/Play-In,Fnatic,6,Dylan (Dylan Falco),Coach,Canada
2017 Season World Championship/Play-In,Gambit Esports,1,PvPStejos,Top,Ukraine
2017 Season World Championship/Play-In,Gambit Esports,2,Diamondprox,Jungle,Russia
2017 Season World Championship/Play-In,Gambit Esports,3,Kira,Mid,Ukraine
2017 Season World Championship/Play-In,Gambit Esports,4,Blasting,Bot,Latvia
2017 Season World Championship/Play-In,Gambit Esports,5,EDward,Support,Armenia
2017 Season World Championship/Play-In,Gambit Esports,6,Invi,Coach,Russia
2017 Season World Championship/Play-In,Hong Kong Attitude,1,Riris,Top,South Korea
2017 Season World Championship/Play-In,Hong Kong Attitude,2,Godkwai,Jungle,Hong Kong
2017 Season World Championship/Play-In,Hong Kong Attitude,3,Gemini,Jungle,Taiwan
2017 Season World Championship/Play-In,Hong Kong Attitude,4,M1ssion,Mid,Taiwan
2017 Season World Championship/Play-In,Hong Kong Attitude,5,Unified,Bot,Hong Kong
2017 Season World Championship/Play-In,Hong Kong Attitude,6,Kaiwing,Support,Hong Kong
2017 Season World Championship/Play-In,Hong Kong Attitude,7,Tabe,Coach,Hong Kong
2017 Season World Championship/Play-In,Kaos Latin Gamers,1,MANTARRAYA,Top,Uruguay
2017 Season World Championship/Play-In,Kaos Latin Gamers,2,Tierwulf,Jungle,Chile
2017 Season World Championship/Play-In,Kaos Latin Gamers,3,Plugo,Mid,Chile
2017 Season World Championship/Play-In,Kaos Latin Gamers,4,Fix,Bot,Argentina
2017 Season World Championship/Play-In,Kaos Latin Gamers,5,Slow,Support,Chile
2017 Season World Championship/Play-In,Kaos Latin Gamers,6,Pierre,Coach,Argentina
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),1,Jirall,Top,Mexico
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),2,Oddie,Jungle,Peru
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),3,Seiya,Mid,Mexico
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),4,WhiteLotus,Bot,Argentina
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),5,Genthix,Support,Argentina
2017 Season World Championship/Play-In,Lyon Gaming (2013 Latin American Team),6,Yeti (Rodrigo del Castillo),Coach,Mexico
2017 Season World Championship/Play-In,Rampage,1,Evi,Top,Japan
2017 Season World Championship/Play-In,Rampage,2,Tussle,Jungle,South Korea
2017 Season World Championship/Play-In,Rampage,3,Ramune,Mid,Japan
2017 Season World Championship/Play-In,Rampage,4,YutoriMoyasi,Bot,Japan
2017 Season World Championship/Play-In,Rampage,5,Dara,Support,South Korea
2017 Season World Championship/Play-In,Rampage,6,34,Coach,South Korea
2017 Season World Championship/Play-In,Team oNe eSports,1,VVvert,Top,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,2,4LaN,Jungle,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,3,Brucer,Mid,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,4,Marf,Mid,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,5,Absolut,Bot,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,6,RedBert,Support,Brazil
2017 Season World Championship/Play-In,Team oNe eSports,7,Neki,Coach,Brazil
2017 Season World Championship/Play-In,Team WE,1,957,Top,China
2017 Season World Championship/Play-In,Team WE,2,Condi,Jungle,China
2017 Season World Championship/Play-In,Team WE,3,xiye,Mid,China
2017 Season World Championship/Play-In,Team WE,4,Mystic,Bot,South Korea
2017 Season World Championship/Play-In,Team WE,5,Ben,Support,South Korea
2017 Season World Championship/Play-In,Team WE,6,Zero (Yoon Kyung-sup),Support,South Korea
2017 Season World Championship/Play-In,Team WE,7,Homme,Coach,South Korea
2017 Season World Championship/Play-In,Young Generation,1,Ren,Top,Vietnam
2017 Season World Championship/Play-In,Young Generation,2,NhocTy,Top,Vietnam
2017 Season World Championship/Play-In,Young Generation,3,Venus,Jungle,Vietnam
2017 Season World Championship/Play-In,Young Generation,4,Naul,Mid,Vietnam
2017 Season World Championship/Play-In,Young Generation,5,BigKoro,Bot,Vietnam
2017 Season World Championship/Play-In,Young Generation,6,Palette,Support,Vietnam
2017 Season World Championship/Play-In,Young Generation,7,Koo,Coach,Vietnam
2018 Season World Championship/Main Event,100 Thieves,1,Ssumday,Top,South Korea
2018 Season World Championship/Main Event,100 Thieves,2,AnDa,Jungle,Canada
2018 Season World Championship/Main Event,100 Thieves,3,Ryu,Mid,South Korea
2018 Season World Championship/Main Event,100 Thieves,4,Rikara,Bot,United States
2018 Season World Championship/Main Event,100 Thieves,5,aphromoo,Support,United States
2018 Season World Championship/Main Event,100 Thieves,6,pr0lly,Coach,United States
2018 Season World Championship/Main Event,Afreeca Freecs,1,Kiin,Top,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,2,Spirit,Jungle,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,3,Mowgli,Jungle,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,4,Kuro,Mid,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,5,Kramer,Bot,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,6,TusiN,Support,South Korea
2018 Season World Championship/Main Event,Afreeca Freecs,7,Comet,Coach,South Korea
2018 Season World Championship/Main Event,Cloud9,1,Licorice,Top,Canada
2018 Season World Championship/Main Event,Cloud9,2,Svenskeren,Jungle,Denmark
2018 Season World Championship/Main Event,Cloud9,3,Blaber,Jungle,United States
2018 Season World Championship/Main Event,Cloud9,4,Jensen,Mid,Denmark
2018 Season World Championship/Main Event,Cloud9,5,Sneaky,Bot,United States
2018 Season World Championship/Main Event,Cloud9,6,Zeyzal,Support,United States
2018 Season World Championship/Main Event,Cloud9,7,Reapered,Coach,South Korea
2018 Season World Championship/Main Event,EDward Gaming,1,Ray,Top,South Korea
2018 Season World Championship/Main Event,EDward Gaming,2,Haro,Jungle,China
2018 Season World Championship/Main Event,EDward Gaming,3,Clearlove,Jungle,China
2018 Season World Championship/Main Event,EDward Gaming,4,Scout,Mid,South Korea
2018 Season World Championship/Main Event,EDward Gaming,5,iBoy,Bot,China
2018 Season World Championship/Main Event,EDward Gaming,6,Meiko,Support,China
2018 Season World Championship/Main Event,EDward Gaming,7,NoFe,Coach,South Korea
2018 Season World Championship/Main Event,Flash Wolves,1,Hanabi (Su Chia-Hsiang),Top,Taiwan
2018 Season World Championship/Main Event,Flash Wolves,2,Moojin,Jungle,South Korea
2018 Season World Championship/Main Event,Flash Wolves,3,Maple (Huang Yi-Tang),Mid,Taiwan
2018 Season World Championship/Main Event,Flash Wolves,4,Betty,Bot,Taiwan
2018 Season World Championship/Main Event,Flash Wolves,5,SwordArt,Support,Taiwan
2018 Season World Championship/Main Event,Flash Wolves,6,WarHorse,Coach,Taiwan
2018 Season World Championship/Main Event,Fnatic,1,sOAZ,Top,France
2018 Season World Championship/Main Event,Fnatic,2,Bwipo,Top,Belgium
2018 Season World Championship/Main Event,Fnatic,3,Broxah,Jungle,Denmark
2018 Season World Championship/Main Event,Fnatic,4,Caps,Mid,Denmark
2018 Season World Championship/Main Event,Fnatic,5,Rekkles,Bot,Sweden
2018 Season World Championship/Main Event,Fnatic,6,Hylissang,Support,Bulgaria
2018 Season World Championship/Main Event,Fnatic,7,Dylan Falco,Coach,Canada
2018 Season World Championship/Main Event,G-Rex,1,PK,Top,Taiwan
2018 Season World Championship/Main Event,G-Rex,2,baybay,Jungle,Taiwan
2018 Season World Championship/Main Event,G-Rex,3,Empt2y,Jungle,Hong Kong
2018 Season World Championship/Main Event,G-Rex,4,Candy (Kim Seung-ju),Mid,South Korea
2018 Season World Championship/Main Event,G-Rex,5,Stitch,Bot,South Korea
2018 Season World Championship/Main Event,G-Rex,6,Koala (Lin Chih-Chiang),Support,Taiwan
2018 Season World Championship/Main Event,G-Rex,7,Wei (Fu Chien-Wei),Coach,Taiwan
2018 Season World Championship/Main Event,G2 Esports,1,Wunder,Top,Denmark
2018 Season World Championship/Main Event,G2 Esports,2,Jankos,Jungle,Poland
2018 Season World Championship/Main Event,G2 Esports,3,Perkz,Mid,Croatia
2018 Season World Championship/Main Event,G2 Esports,4,Hjarnan,Bot,Sweden
2018 Season World Championship/Main Event,G2 Esports,5,Wadid,Support,South Korea
2018 Season World Championship/Main Event,G2 Esports,6,GrabbZ,Coach,Germany
2018 Season World Championship/Main Event,Gen.G,1,CuVee,Top,South Korea
2018 Season World Championship/Main Event,Gen.G,2,Haru,Jungle,South Korea
2018 Season World Championship/Main Event,Gen.G,3,Ambition,Jungle,South Korea
2018 Season World Championship/Main Event,Gen.G,4,Crown,Mid,South Korea
2018 Season World Championship/Main Event,Gen.G,5,Ruler,Bot,South Korea
2018 Season World Championship/Main Event,Gen.G,6,CoreJJ,Support,South Korea
2018 Season World Championship/Main Event,Gen.G,7,Edgar,Coach,South Korea
2018 Season World Championship/Main Event,Invictus Gaming,1,Duke (Lee Ho-seong),Top,South Korea
2018 Season World Championship/Main Event,Invictus Gaming,2,TheShy,Top,South Korea
2018 Season World Championship/Main Event,Invictus Gaming,3,Ning,Jungle,China
2018 Season World Championship/Main Event,Invictus Gaming,4,Rookie,Mid,South Korea
2018 Season World Championship/Main Event,Invictus Gaming,5,JackeyLove,Bot,China
2018 Season World Championship/Main Event,Invictus Gaming,6,Baolan,Support,China
2018 Season World Championship/Main Event,Invictus Gaming,7,Kim (Kim Jeong-soo),Coach,South Korea
2018 Season World Championship/Main Event,KT Rolster,1,Smeb,Top,South Korea
2018 Season World Championship/Main Event,KT Rolster,2,Score,Jungle,South Korea
2018 Season World Championship/Main Event,KT Rolster,3,Ucal,Mid,South Korea
2018 Season World Championship/Main Event,KT Rolster,4,Deft,Bot,South Korea
2018 Season World Championship/Main Event,KT Rolster,5,Mata,Support,South Korea
2018 Season World Championship/Main Event,KT Rolster,6,Noexcuse,Coach,South Korea
2018 Season World Championship/Main Event,MAD Team,1,Liang,Top,Taiwan
2018 Season World Championship/Main Event,MAD Team,2,Kongyue,Jungle,Taiwan
2018 Season World Championship/Main Event,MAD Team,3,Benny (Lien Hsiu-Chi),Jungle,Taiwan
2018 Season World Championship/Main Event,MAD Team,4,Uniboy,Mid,Taiwan
2018 Season World Championship/Main Event,MAD Team,5,Breeze,Bot,Taiwan
2018 Season World Championship/Main Event,MAD Team,6,K,Support,Taiwan
2018 Season World Championship/Main Event,MAD Team,7,GreenTea,Coach,Taiwan
2018 Season World Championship/Main Event,Phong Vũ Buffalo,1,Zeros,Top,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,2,Meliodas (Hoàng Tiến Nhật),Jungle,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,3,XuHao,Jungle,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,4,Naul,Mid,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,5,BigKoro,Bot,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,6,Palette,Support,Vietnam
2018 Season World Championship/Main Event,Phong Vũ Buffalo,7,Ren,Coach,Vietnam
2018 Season World Championship/Main Event,Royal Never Give Up,1,Letme,Top,China
2018 Season World Championship/Main Event,Royal Never Give Up,2,Karsa,Jungle,Taiwan
2018 Season World Championship/Main Event,Royal Never Give Up,3,Mlxg,Jungle,China
2018 Season World Championship/Main Event,Royal Never Give Up,4,Xiaohu,Mid,China
2018 Season World Championship/Main Event,Royal Never Give Up,5,Uzi (Jian Zi-Hao),Bot,China
2018 Season World Championship/Main Event,Royal Never Give Up,6,Ming (Shi Sen-Ming),Support,China
2018 Season World Championship/Main Event,Royal Never Give Up,7,Heart,Coach,South Korea
2018 Season World Championship/Main Event,Team Liquid,1,Impact,Top,South Korea
2018 Season World Championship/Main Event,Team Liquid,2,Xmithie,Jungle,Philippines
2018 Season World Championship/Main Event,Team Liquid,3,Pobelter,Mid,United States
2018 Season World Championship/Main Event,Team Liquid,4,Doublelift,Bot,United States
2018 Season World Championship/Main Event,Team Liquid,5,Olleh,Support,South Korea
2018 Season World Championship/Main Event,Team Liquid,6,Cain,Coach,South Korea
2018 Season World Championship/Main Event,Team Vitality,1,Cabochard,Top,France
2018 Season World Championship/Main Event,Team Vitality,2,Kikis,Jungle,Poland
2018 Season World Championship/Main Event,Team Vitality,3,Jiizuke,Mid,Italy
2018 Season World Championship/Main Event,Team Vitality,4,Attila,Bot,Portugal
2018 Season World Championship/Main Event,Team Vitality,5,Jactroll,Support,Poland
2018 Season World Championship/Main Event,Team Vitality,6,YamatoCannon,Coach,Sweden
2018 Season World Championship/Play-In,Ascension Gaming,1,Rockky,Top,Thailand
2018 Season World Championship/Play-In,Ascension Gaming,2,Lloyd,Jungle,Thailand
2018 Season World Championship/Play-In,Ascension Gaming,3,G4,Mid,Thailand
2018 Season World Championship/Play-In,Ascension Gaming,4,Niksar,Bot,Russia
2018 Season World Championship/Play-In,Ascension Gaming,5,Rich (Warich Kittiwattanawong),Support,Thailand
2018 Season World Championship/Play-In,Ascension Gaming,6,Chainarin,Coach,Thailand
2018 Season World Championship/Play-In,Cloud9,1,Licorice,Top,Canada
2018 Season World Championship/Play-In,Cloud9,2,Blaber,Jungle,United States
2018 Season World Championship/Play-In,Cloud9,3,Svenskeren,Jungle,Denmark
2018 Season World Championship/Play-In,Cloud9,4,Jensen,Mid,Denmark
2018 Season World Championship/Play-In,Cloud9,5,Sneaky,Bot,United States
2018 Season World Championship/Play-In,Cloud9,6,Zeyzal,Support,United States
2018 Season World Championship/Play-In,Cloud9,7,Reapered,Coach,South Korea
2018 Season World Championship/Play-In,DetonatioN FocusMe,1,Evi,Top,Japan
2018 Season World Championship/Play-In,DetonatioN FocusMe,2,Steal (Mun Geon-yeong),Jungle,South Korea
2018 Season World Championship/Play-In,DetonatioN FocusMe,3,Ceros,Mid,Japan
2018 Season World Championship/Play-In,DetonatioN FocusMe,4,Yutapon,Bot,Japan
2018 Season World Championship/Play-In,DetonatioN FocusMe,5,viviD,Support,South Korea
2018 Season World Championship/Play-In,DetonatioN FocusMe,6,Kazu,Coach,France
2018 Season World Championship/Play-In,Dire Wolves,1,BioPanther,Top,Australia
2018 Season World Championship/Play-In,Dire Wolves,2,UDYSOF,Jungle,Australia
2018 Season World Championship/Play-In,Dire Wolves,3,Shernfire,Jungle,Malaysia
2018 Season World Championship/Play-In,Dire Wolves,4,Triple,Mid,Australia
2018 Season World Championship/Play-In,Dire Wolves,5,k1ng,Bot,Australia
2018 Season World Championship/Play-In,Dire Wolves,6,Cupcake,Support,New Zealand
2018 Season World Championship/Play-In,Dire Wolves,7,Sharp (Curtis Morgan),Coach,Australia
2018 Season World Championship/Play-In,EDward Gaming,1,Ray,Top,South Korea
2018 Season World Championship/Play-In,EDward Gaming,2,Clearlove,Jungle,China
2018 Season World Championship/Play-In,EDward Gaming,3,Haro,Jungle,China
2018 Season World Championship/Play-In,EDward Gaming,4,Scout,Mid,South Korea
2018 Season World Championship/Play-In,EDward Gaming,5,iBoy,Bot,China
2018 Season World Championship/Play-In,EDward Gaming,6,Meiko,Support,China
2018 Season World Championship/Play-In,EDward Gaming,7,NoFe,Coach,South Korea
2018 Season World Championship/Play-In,G-Rex,1,PK,Top,Taiwan
2018 Season World Championship/Play-In,G-Rex,2,Empt2y,Jungle,Hong Kong
2018 Season World Championship/Play-In,G-Rex,3,Candy (Kim Seung-ju),Mid,South Korea
2018 Season World Championship/Play-In,G-Rex,4,Stitch,Bot,South Korea
2018 Season World Championship/Play-In,G-Rex,5,Koala (Lin Chih-Chiang),Support,Taiwan
2018 Season World Championship/Play-In,G-Rex,6,Wei (Fu Chien-Wei),Coach,Taiwan
2018 Season World Championship/Play-In,G2 Esports,1,Wunder,Top,Denmark
2018 Season World Championship/Play-In,G2 Esports,2,Jankos,Jungle,Poland
2018 Season World Championship/Play-In,G2 Esports,3,Perkz,Mid,Croatia
2018 Season World Championship/Play-In,G2 Esports,4,Hjarnan,Bot,Sweden
2018 Season World Championship/Play-In,G2 Esports,5,Wadid,Support,South Korea
2018 Season World Championship/Play-In,G2 Esports,6,GrabbZ,Coach,Germany
2018 Season World Championship/Play-In,Gambit Esports,1,PvPStejos,Top,Ukraine
2018 Season World Championship/Play-In,Gambit Esports,2,Diamondprox,Jungle,Russia
2018 Season World Championship/Play-In,Gambit Esports,3,Kira,Mid,Ukraine
2018 Season World Championship/Play-In,Gambit Esports,4,Lodik,Bot,Russia
2018 Season World Championship/Play-In,Gambit Esports,5,Edward,Support,Armenia
2018 Season World Championship/Play-In,Gambit Esports,6,ATRemains,Coach,Latvia
2018 Season World Championship/Play-In,INFINITY,1,Relic,Top,Venezuela
2018 Season World Championship/Play-In,INFINITY,2,SolidSnake,Jungle,Peru
2018 Season World Championship/Play-In,INFINITY,3,Cotopaco,Mid,Colombia
2018 Season World Championship/Play-In,INFINITY,4,Renyu,Bot,Peru
2018 Season World Championship/Play-In,INFINITY,5,Arce,Support,Peru
2018 Season World Championship/Play-In,INFINITY,6,Soren (Carlos Ibarra),Coach,Mexico
2018 Season World Championship/Play-In,KaBuM! Esports,1,Zantins,Top,Brazil
2018 Season World Championship/Play-In,KaBuM! Esports,2,Ranger,Jungle,Brazil
2018 Season World Championship/Play-In,KaBuM! Esports,3,dyNquedo,Mid,Brazil
2018 Season World Championship/Play-In,KaBuM! Esports,4,Titan,Bot,Brazil
2018 Season World Championship/Play-In,KaBuM! Esports,5,Riyev,Support,Brazil
2018 Season World Championship/Play-In,KaBuM! Esports,6,Hiro (Lee Woo-suk),Coach,South Korea
2018 Season World Championship/Play-In,Kaos Latin Gamers,1,Nate,Top,Argentina
2018 Season World Championship/Play-In,Kaos Latin Gamers,2,Tierwulf,Jungle,Chile
2018 Season World Championship/Play-In,Kaos Latin Gamers,3,Plugo,Mid,Chile
2018 Season World Championship/Play-In,Kaos Latin Gamers,4,Fix,Bot,Argentina
2018 Season World Championship/Play-In,Kaos Latin Gamers,5,Slow,Support,Chile
2018 Season World Championship/Play-In,Kaos Latin Gamers,6,Pierre,Coach,Argentina
2018 Season World Championship/Play-In,SuperMassive Esports,1,fabFabulous,Top,Turkey
2018 Season World Championship/Play-In,SuperMassive Esports,2,Stomaged,Jungle,Turkey
2018 Season World Championship/Play-In,SuperMassive Esports,3,GBM,Mid,South Korea
2018 Season World Championship/Play-In,SuperMassive Esports,4,Zeitnot,Bot,Turkey
2018 Season World Championship/Play-In,SuperMassive Esports,5,SnowFlower,Support,South Korea
2018 Season World Championship/Play-In,SuperMassive Esports,6,Irean,Coach,South Korea
2019 Season World Championship/Main Event,ahq eSports Club,1,Ziv (Chen Yi),Top,Taiwan
2019 Season World Championship/Main Event,ahq eSports Club,2,Alex (Chen Yu-Ming),Jungle,Taiwan
2019 Season World Championship/Main Event,ahq eSports Club,3,Rainbow (Kim Soo-gi),Mid,South Korea
2019 Season World Championship/Main Event,ahq eSports Club,4,Apex (Hsieh Chia-Wei),Mid,Taiwan
2019 Season World Championship/Main Event,ahq eSports Club,5,Wako,Bot,Taiwan
2019 Season World Championship/Main Event,ahq eSports Club,6,Ysera,Support,Taiwan
2019 Season World Championship/Main Event,ahq eSports Club,7,NeXAbc,Coach,Taiwan
2019 Season World Championship/Main Event,Cloud9,1,Licorice,Top,Canada
2019 Season World Championship/Main Event,Cloud9,2,Svenskeren,Jungle,Denmark
2019 Season World Championship/Main Event,Cloud9,3,Blaber,Jungle,United States
2019 Season World Championship/Main Event,Cloud9,4,Nisqy,Mid,Belgium
2019 Season World Championship/Main Event,Cloud9,5,Sneaky,Bot,United States
2019 Season World Championship/Main Event,Cloud9,6,Deftly,Bot,United States
2019 Season World Championship/Main Event,Cloud9,7,Zeyzal,Support,United States
2019 Season World Championship/Main Event,Cloud9,8,Reapered,Coach,South Korea
2019 Season World Championship/Main Event,Clutch Gaming,1,Huni,Top,South Korea
2019 Season World Championship/Main Event,Clutch Gaming,2,Lira,Jungle,South Korea
2019 Season World Championship/Main Event,Clutch Gaming,3,Damonte,Mid,United States
2019 Season World Championship/Main Event,Clutch Gaming,4,Cody Sun,Bot,China
2019 Season World Championship/Main Event,Clutch Gaming,5,Vulcan (Philippe Laflamme),Support,Canada
2019 Season World Championship/Main Event,Clutch Gaming,6,Thinkcard,Coach,United States
2019 Season World Championship/Main Event,DAMWON Gaming,1,Nuguri,Top,South Korea
2019 Season World Championship/Main Event,DAMWON Gaming,2,Canyon,Jungle,South Korea
2019 Season World Championship/Main Event,DAMWON Gaming,3,ShowMaker,Mid,South Korea
2019 Season World Championship/Main Event,DAMWON Gaming,4,Nuclear,Bot,South Korea
2019 Season World Championship/Main Event,DAMWON Gaming,5,BeryL,Support,South Korea
2019 Season World Championship/Main Event,DAMWON Gaming,6,Kim (Kim Jeong-soo),Coach,South Korea
2019 Season World Championship/Main Event,Fnatic,1,Bwipo,Top,Belgium
2019 Season World Championship/Main Event,Fnatic,2,Broxah,Jungle,Denmark
2019 Season World Championship/Main Event,Fnatic,3,Nemesis,Mid,Slovenia
2019 Season World Championship/Main Event,Fnatic,4,Rekkles,Bot,Sweden
2019 Season World Championship/Main Event,Fnatic,5,Hylissang,Support,Bulgaria
2019 Season World Championship/Main Event,Fnatic,6,Youngbuck,Coach,Netherlands
2019 Season World Championship/Main Event,FunPlus Phoenix,1,GimGoon,Top,South Korea
2019 Season World Championship/Main Event,FunPlus Phoenix,2,Tian,Jungle,China
2019 Season World Championship/Main Event,FunPlus Phoenix,3,Doinb,Mid,South Korea
2019 Season World Championship/Main Event,FunPlus Phoenix,4,Lwx,Bot,China
2019 Season World Championship/Main Event,FunPlus Phoenix,5,Crisp,Support,China
2019 Season World Championship/Main Event,FunPlus Phoenix,6,WarHorse,Coach,Taiwan
2019 Season World Championship/Main Event,G2 Esports,1,Wunder,Top,Denmark
2019 Season World Championship/Main Event,G2 Esports,2,Jankos,Jungle,Poland
2019 Season World Championship/Main Event,G2 Esports,3,Caps,Mid,Denmark
2019 Season World Championship/Main Event,G2 Esports,4,Perkz,Bot,Croatia
2019 Season World Championship/Main Event,G2 Esports,5,Mikyx,Support,Slovenia
2019 Season World Championship/Main Event,G2 Esports,6,GrabbZ,Coach,Germany
2019 Season World Championship/Main Event,GAM Esports,1,Zeros,Top,Vietnam
2019 Season World Championship/Main Event,GAM Esports,2,Levi,Jungle,Vietnam
2019 Season World Championship/Main Event,GAM Esports,3,Kiaya,Mid,Vietnam
2019 Season World Championship/Main Event,GAM Esports,4,Zin,Bot,Vietnam
2019 Season World Championship/Main Event,GAM Esports,5,Hieu3,Support,Vietnam
2019 Season World Championship/Main Event,GAM Esports,6,Slay,Support,Vietnam
2019 Season World Championship/Main Event,GAM Esports,7,Yuna,Coach,Vietnam
2019 Season World Championship/Main Event,Griffin (Korean Team),1,Sword (Choi Sung-won),Top,South Korea
2019 Season World Championship/Main Event,Griffin (Korean Team),2,Tarzan (Lee Seung-yong),Jungle,South Korea
2019 Season World Championship/Main Event,Griffin (Korean Team),3,Chovy,Mid,South Korea
2019 Season World Championship/Main Event,Griffin (Korean Team),4,Viper (Park Do-hyeon),Bot,South Korea
2019 Season World Championship/Main Event,Griffin (Korean Team),5,Lehends,Support,South Korea
2019 Season World Championship/Main Event,Griffin (Korean Team),6,Chaos (Byun Young-sub),Coach,South Korea
2019 Season World Championship/Main Event,Hong Kong Attitude,1,3Z,Top,Taiwan
2019 Season World Championship/Main Event,Hong Kong Attitude,2,Crash,Jungle,South Korea
2019 Season World Championship/Main Event,Hong Kong Attitude,3,M1ssion,Mid,Taiwan
2019 Season World Championship/Main Event,Hong Kong Attitude,4,Unified,Bot,Hong Kong
2019 Season World Championship/Main Event,Hong Kong Attitude,5,Kaiwing,Support,Hong Kong
2019 Season World Championship/Main Event,Hong Kong Attitude,6,Chawy,Coach,Singapore
2019 Season World Championship/Main Event,Invictus Gaming,1,TheShy,Top,South Korea
2019 Season World Championship/Main Event,Invictus Gaming,2,Leyan,Jungle,China
2019 Season World Championship/Main Event,Invictus Gaming,3,Ning,Jungle,China
2019 Season World Championship/Main Event,Invictus Gaming,4,Rookie,Mid,South Korea
2019 Season World Championship/Main Event,Invictus Gaming,5,JackeyLove,Bot,China
2019 Season World Championship/Main Event,Invictus Gaming,6,Baolan,Support,China
2019 Season World Championship/Main Event,Invictus Gaming,7,Mafa,Coach,South Korea
2019 Season World Championship/Main Event,J Team,1,Rest,Top,Taiwan
2019 Season World Championship/Main Event,J Team,2,Hana,Jungle,Taiwan
2019 Season World Championship/Main Event,J Team,3,FoFo,Mid,Taiwan
2019 Season World Championship/Main Event,J Team,4,Lilv,Bot,Taiwan
2019 Season World Championship/Main Event,J Team,5,Koala (Lin Chih-Chiang),Support,Taiwan
2019 Season World Championship/Main Event,J Team,6,REFRA1N,Coach,Taiwan
2019 Season World Championship/Main Event,Royal Never Give Up,1,Langx,Top,China
2019 Season World Championship/Main Event,Royal Never Give Up,2,Karsa,Jungle,Taiwan
2019 Season World Championship/Main Event,Royal Never Give Up,3,Xiaohu,Mid,China
2019 Season World Championship/Main Event,Royal Never Give Up,4,Uzi (Jian Zi-Hao),Bot,China
2019 Season World Championship/Main Event,Royal Never Give Up,5,Ming (Shi Sen-Ming),Support,China
2019 Season World Championship/Main Event,Royal Never Give Up,6,Steak,Coach,Taiwan
2019 Season World Championship/Main Event,SK Telecom T1,1,Khan,Top,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,2,Clid,Jungle,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,3,Faker,Mid,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,4,Teddy,Bot,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,5,Effort,Support,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,6,Mata,Support,South Korea
2019 Season World Championship/Main Event,SK Telecom T1,7,Zefa,Coach,South Korea
2019 Season World Championship/Main Event,Splyce,1,Vizicsacsi,Top,Hungary
